,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
36,Albany,90,US,1575255277,79,42.65,-73.75,28.99,8.05
37,Thompson,90,CA,1575255278,92,55.74,-97.86,12.2,9.17
38,Impfondo,100,CD,1575255279,95,1.62,18.06,71.47,2.1
39,Provideniya,75,RU,1575255280,85,64.42,-173.23,24.8,4.47
40,Bredasdorp,100,ZA,1575255282,87,-34.53,20.04,64.0,1.12
41,Krasnokholmskiy,100,RU,1575255283,97,55.99,55.05,25.68,5.95
42,Buin,0,CL,1575255284,48,-33.73,-70.74,66.2,10.29
43,Deputatskiy,96,RU,1575255285,98,69.3,139.9,-16.64,0.96
44,Santa Maria,100,BR,1575255286,94,-16.02,-48.01,69.8,3.36
45,Inirida,100,CO,1575255287,96,3.87,-67.92,74.52,2.01
46,Bluff,100,AU,1575255288,10,-23.58,149.07,96.3,20.87
47,Codrington,0,AU,1575254754,19,-28.95,153.24,88.0,18.34
48,Iqaluit,90,CA,1575255290,65,63.75,-68.52,8.6,8.05
49,Canutama,48,BR,1575255291,79,-6.53,-64.38,79.12,2.33
50,Punta Arenas,75,CL,1575255139,76,-53.16,-70.91,53.6,5.82
51,Jamestown,56,AU,1575255293,40,-33.21,138.6,65.66,22.35
52,Doctor Arroyo,19,MX,1575255294,88,23.67,-100.18,57.2,6.67
53,Srednekolymsk,100,RU,1575255295,93,67.46,153.71,-23.12,7.63
54,Llanes,100,ES,1575255297,94,43.42,-4.75,50.0,8.93
55,Shahr-e Kord,100,IR,1575255298,79,32.33,50.85,24.8,2.24
56,Norman Wells,75,CA,1575255143,85,65.28,-126.83,19.4,3.36
57,Avarua,100,CK,1575254544,83,-21.21,-159.78,77.0,5.82
58,Vaini,40,IN,1575255301,88,15.34,74.49,71.6,11.41
59,Ribeira Grande,100,PT,1575254723,91,38.52,-28.7,63.82,16.08
60,Kahului,40,US,1575255303,65,20.89,-156.47,77.0,17.22
61,Itarema,47,BR,1575255304,80,-2.92,-39.92,77.27,7.23
62,Aras,75,ES,1575255305,93,42.56,-2.36,44.01,4.7
63,Fuerte Olimpo,41,BR,1575255306,86,-21.04,-57.87,76.41,2.39
64,Hovd,90,NO,1575254895,77,63.83,10.7,37.99,29.97
65,Camopi,25,GF,1575255308,98,3.17,-52.33,72.16,2.64
66,Bull Savanna,11,JM,1575255309,93,17.89,-77.59,69.08,3.18
67,Vilyuysk,100,RU,1575255310,97,63.75,121.63,-24.5,4.45
68,Cherskiy,100,RU,1575255146,97,68.75,161.3,-4.9,17.87
69,Mangrol,0,IN,1575255312,58,25.33,76.51,65.46,8.3
70,Aripuana,100,BR,1575255275,89,-9.17,-60.63,74.59,1.63
71,Aswan,0,EG,1575255314,67,24.09,32.9,57.2,4.7
72,Victoria,75,BN,1575255315,94,5.28,115.24,82.4,2.24
73,Huilong,95,CN,1575255317,49,31.15,106.5,50.32,2.55
74,Penzance,0,GB,1575255318,74,50.12,-5.53,43.0,6.93
75,Parangan,100,PH,1575255319,72,5.08,119.94,83.59,13.02
76,Necochea,0,AR,1575255091,87,-38.55,-58.74,44.01,1.01
77,Dikson,100,RU,1575255321,71,73.51,80.55,-1.8,9.73
78,Teguldet,81,RU,1575255322,87,57.31,88.17,4.39,5.75
79,Orbetello,75,IT,1575255323,87,42.44,11.21,60.8,13.87
80,Touros,40,BR,1575255053,88,-5.2,-35.46,77.0,5.82
81,Kaitangata,100,NZ,1575254732,65,-46.28,169.85,59.0,21.99
82,Dukat,58,AL,1575255326,60,40.25,19.57,61.25,15.66
83,Kununurra,1,AU,1575255006,29,-15.77,128.74,100.4,9.17
84,Port Lincoln,47,AU,1575255328,53,-34.72,135.86,64.45,19.64
85,Urusha,100,RU,1575255329,76,54.05,122.9,-4.94,8.28
86,Esperance,90,AU,1575254749,72,-33.86,121.89,68.0,10.29
87,Rikitea,100,PF,1575255332,76,-23.12,-134.97,77.25,8.61
88,Pilot Butte,5,CA,1575255333,92,50.48,-104.42,21.0,11.41
89,Kapaa,40,US,1575255236,57,22.08,-159.32,80.6,11.39
90,Kalang,40,AU,1575255335,22,-30.51,152.69,86.0,18.34
91,Sabla,90,NG,1575255336,14,12.75,4.71,73.22,9.71
92,Saint-Philippe,90,CA,1575255337,78,45.36,-73.48,25.0,10.29
93,Kautokeino,100,NO,1575255338,80,69.01,23.04,22.62,21.5
94,Hami,0,CN,1575254900,29,42.84,93.51,29.25,1.83
95,Krasnyy Oktyabr,0,RU,1575255340,78,56.12,38.88,23.94,8.05
96,Puerto Ayora,37,EC,1575254756,91,-0.74,-90.35,70.0,4.0
97,Moron,24,HT,1575255342,79,18.56,-74.26,77.41,4.94
98,Hermanus,100,ZA,1575255236,87,-34.42,19.24,64.0,8.01
99,Voh,100,NC,1575255344,68,-20.95,164.69,76.35,12.19
100,Vila Velha,20,BR,1575254983,78,-3.71,-38.6,86.0,6.93
101,Robertsport,2,LR,1575255346,76,6.75,-11.37,82.92,11.3
102,Dunedin,42,NZ,1575255347,54,-45.87,170.5,60.01,15.01
103,Kodiak,90,US,1575255348,80,39.95,-94.76,32.0,11.41
104,Airai,61,TL,1575255349,38,-8.93,125.41,88.16,8.21
105,Nhulunbuy,90,AU,1575255350,70,-12.18,136.78,86.0,4.7
106,Luwingu,100,ZM,1575255351,95,-10.26,29.92,65.86,3.87
107,Faanui,42,PF,1575255036,70,-16.48,-151.75,83.28,8.32
108,Shache,87,CN,1575255153,54,38.42,77.24,28.27,4.76
109,Akdepe,53,TM,1575255355,73,42.05,59.39,30.2,6.93
110,Pisco,100,PE,1575254789,82,-13.71,-76.2,68.0,14.99
111,Wicklow,20,IE,1575255357,93,53.0,-6.42,34.0,6.93
112,Buala,84,SB,1575255358,73,-8.15,159.59,84.83,2.04
113,Longyearbyen,83,NO,1575255359,66,78.22,15.63,12.2,17.22
114,Wehr,90,DE,1575255360,97,47.63,7.9,37.4,3.36
115,Saint Anthony,90,US,1575255361,73,43.97,-111.68,24.8,3.0
116,Port Elizabeth,90,US,1575254783,100,39.31,-74.98,51.01,11.41
117,Paamiut,100,GL,1575255363,96,61.99,-49.67,36.25,24.47
118,Corsicana,1,US,1575255364,49,32.09,-96.46,51.01,6.93
119,Petatlan,20,MX,1575255365,83,17.52,-101.27,82.4,2.39
120,Trujillo,5,VE,1575255366,85,9.37,-70.44,69.01,3.04
121,Nikolskoye,90,RU,1575255367,79,59.7,30.79,32.0,13.42
122,Rundu,100,NA,1575255025,57,-17.91,19.77,75.2,3.36
123,Talnakh,0,RU,1575255370,64,69.49,88.39,-0.4,15.66
124,Xining,61,CN,1575255371,70,36.62,101.77,19.69,5.12
125,Eureka,40,US,1575255309,76,40.8,-124.16,57.2,17.22
126,Neiafu,75,TO,1575255373,78,-18.65,-173.98,80.6,8.05
127,Kijang,20,KR,1575255313,52,35.24,129.21,46.4,14.99
128,Hofn,100,IS,1575255375,95,64.25,-15.21,45.99,10.18
129,Komsomolskiy,99,RU,1575254985,91,67.55,63.78,14.41,4.85
130,Vardo,90,US,1575255377,93,39.62,-77.74,37.99,3.36
131,Corowa,75,AU,1575255378,38,-36.0,146.39,59.0,19.46
132,Shellbrook,5,CA,1575255379,92,53.22,-106.39,6.8,2.24
133,Gaozhou,4,CN,1575255380,46,21.91,110.85,65.25,6.42
134,Ukiah,90,US,1575255381,87,39.15,-123.21,55.99,3.33
135,Mahebourg,40,MU,1575255382,73,-20.41,57.7,77.0,11.41
136,Mangan,0,IN,1575255383,62,27.5,88.54,48.51,3.15
137,Tiksi,47,RU,1575255018,95,71.64,128.87,-32.08,2.13
138,Mount Gambier,90,AU,1575255385,66,-37.83,140.78,55.4,20.8
139,Pochutla,5,MX,1575255387,78,15.74,-96.47,80.6,4.76
140,Diamantino,74,BR,1575255388,90,-14.4,-56.44,73.4,2.21
141,Belfast,6,GB,1575255389,93,54.6,-5.93,42.01,5.82
142,Kamloops,90,CA,1575255390,85,50.68,-120.34,23.0,2.37
143,Severo-Kurilsk,27,RU,1575255391,84,50.68,156.12,26.64,7.72
144,Manica,95,MZ,1575255392,94,-18.94,32.88,68.67,2.44
145,Chokurdakh,57,RU,1575255393,99,70.62,147.9,-31.56,2.98
146,Saskylakh,58,RU,1575255394,94,71.97,114.09,-32.69,2.8
147,Meulaboh,100,ID,1575255034,82,4.14,96.13,79.16,11.25
148,Cidreira,0,BR,1575254825,66,-30.17,-50.22,66.96,15.79
149,Sabae,75,JP,1575255397,93,35.95,136.19,57.2,20.8
150,Sitka,21,US,1575255398,70,37.17,-99.65,30.0,5.01
151,Flinders,82,AU,1575255001,26,-34.58,150.85,71.6,25.28
152,Guerrero Negro,0,MX,1575255400,67,27.97,-114.04,62.6,8.12
153,Rocha,0,UY,1575255266,86,-34.48,-54.34,47.62,5.73
154,Port Alfred,99,ZA,1575255402,94,-33.59,26.89,68.0,7.0
155,Bangolo,0,CI,1575255403,79,7.01,-7.49,71.06,2.28
156,Sindor,100,RU,1575255404,95,62.87,51.9,12.34,5.46
157,Mar del Plata,100,AR,1575254810,59,-46.43,-67.52,56.61,9.8
158,Khrebtovaya,93,RU,1575255407,95,56.71,104.25,-5.26,1.68
159,Qaanaaq,100,GL,1575255408,61,77.48,-69.36,5.25,9.64
160,Megion,100,RU,1575255409,61,61.04,76.11,15.8,11.18
161,Souillac,90,FR,1575255410,86,45.6,-0.6,41.0,19.46
162,Flin Flon,58,CA,1575255411,94,54.77,-101.88,10.17,8.43
163,Pemba,23,MZ,1575255412,83,-12.97,40.52,78.49,6.13
164,Chuy,0,UY,1575255413,72,-33.69,-53.46,53.92,10.07
165,Erenhot,0,CN,1575255414,47,43.65,111.97,19.13,20.11
166,Vostok,67,RU,1575254967,77,46.45,135.83,19.62,1.25
167,Burdur,0,TR,1575255416,85,37.72,30.29,32.0,3.36
168,Tuatapere,95,NZ,1575255417,67,-46.13,167.69,63.0,11.99
169,Salalah,15,OM,1575254981,60,17.01,54.1,73.4,6.93
170,Saint George,0,GR,1575255419,80,39.45,22.34,39.2,6.93
171,Port Charlotte,75,US,1575255409,94,26.98,-82.09,75.99,10.29
172,Vila Franca do Campo,40,PT,1575255421,88,37.72,-25.43,64.4,4.7
173,Hithadhoo,100,MV,1575255423,81,-0.6,73.08,82.27,12.62
174,Sao Filipe,30,CV,1575255424,79,14.9,-24.5,72.41,11.59
175,Shar,86,NG,1575255425,58,7.3,8.73,75.85,2.89
176,Juneau,90,US,1575255256,93,58.3,-134.42,39.2,19.46
177,Prince Rupert,90,CA,1575255427,93,54.32,-130.32,37.4,11.41
178,Ponta do Sol,100,BR,1575255428,94,-20.63,-46.0,68.04,1.39
179,Tautira,75,PF,1575255429,74,-17.73,-149.15,82.4,10.29
180,Zhigansk,100,RU,1575255430,94,66.77,123.37,-30.17,9.78
181,Vestmannaeyjar,100,IS,1575254953,97,63.44,-20.27,47.61,9.64
182,Namibe,100,AO,1575255432,78,-15.19,12.15,73.2,5.88
183,Nichinan,40,JP,1575255433,52,31.65,131.31,68.0,23.04
184,Yerbogachen,6,RU,1575255434,90,61.28,108.01,-28.25,2.89
185,Zhezkazgan,75,KZ,1575255435,78,47.8,67.71,15.8,4.47
186,Ryotsu,90,JP,1575255436,87,38.08,138.43,55.4,5.82
187,La Ronge,5,CA,1575254923,85,55.1,-105.3,12.2,5.82
188,Syracuse,90,US,1575255194,86,43.05,-76.15,28.4,8.05
189,Acari,5,BR,1575255440,89,-6.44,-36.64,68.95,17.11
190,Kamenka,100,MD,1575255441,90,48.03,28.7,24.01,5.77
191,Guanica,5,PR,1575255442,83,17.97,-66.91,79.0,5.32
192,Lodja,100,CD,1575255443,99,-3.52,23.6,69.53,3.33
193,Yellowknife,90,CA,1575255444,85,62.45,-114.38,17.6,8.05
194,Khatanga,0,RU,1575255445,96,71.98,102.47,-30.23,2.93
195,Puli,40,TW,1575255446,59,23.97,120.97,70.0,31.09
196,Tomatlan,100,MX,1575255447,96,19.93,-105.25,70.2,1.32
197,Toamasina,40,MG,1575255448,88,-18.17,49.38,71.6,8.3
198,Xiaoweizhai,31,CN,1575255450,65,26.23,107.51,44.35,9.64
199,Sturgis,47,CA,1575255185,96,51.94,-102.54,9.12,8.37
200,Maraba,100,BR,1575255452,94,-5.35,-49.1,78.8,1.12
201,Leningradskiy,100,RU,1575255453,95,69.38,178.42,18.27,7.11
202,Maragogi,2,BR,1575255454,79,-9.01,-35.22,78.89,14.94
203,Maravilha,0,BR,1575255455,85,-26.76,-53.17,61.12,1.95
204,Klaksvik,100,FO,1575254946,93,62.23,-6.59,42.8,8.05
205,Oparino,0,RU,1575255457,95,59.85,48.28,8.71,5.35
206,Osmena,100,PH,1575255458,80,12.17,124.59,83.03,28.36
207,Poum,69,MK,1575255459,70,41.28,20.71,34.0,2.75
208,Gryazovets,97,RU,1575255460,84,58.88,40.25,25.02,11.39
209,Bethel,40,US,1575255261,84,60.79,-161.76,10.4,8.05
210,Santa Rosa de Aguan,0,HN,1575255463,75,15.95,-85.71,81.25,10.85
211,Saint-Georges,100,CA,1575254941,80,46.12,-70.67,17.01,3.0
212,Mareeba,30,AU,1575255465,62,-16.99,145.42,87.8,10.29
213,Nishihara,75,JP,1575255107,100,35.74,139.53,66.2,2.24
214,Sorland,93,NO,1575255467,58,67.67,12.69,37.17,31.45
215,Havre-Saint-Pierre,1,CA,1575255468,72,50.23,-63.6,12.2,5.82
216,Hilo,90,US,1575255469,100,19.71,-155.08,70.0,11.41
217,Anito,100,PH,1575255470,82,12.45,125.29,82.33,51.29
218,Nome,1,US,1575255160,62,30.04,-94.42,57.99,5.82
219,Lavrentiya,100,RU,1575255472,94,65.58,-170.99,29.66,11.41
220,Hualmay,82,PE,1575255473,80,-11.1,-77.61,65.14,3.13
221,Utete,2,TZ,1575255474,96,-7.99,38.76,74.17,1.3
222,Kailua,75,US,1575255475,78,21.39,-157.74,78.8,6.93
223,Ilulissat,100,GL,1575255477,85,69.22,-51.1,24.8,5.82
224,Carnarvon,0,ZA,1575255478,26,-30.97,22.13,57.94,1.97
225,Samarai,33,PG,1575255479,62,-10.62,150.67,87.08,7.85
226,Leh,18,IN,1575255152,68,34.16,77.58,-1.86,1.57
227,Zheleznogorsk,99,RU,1575255481,61,56.25,93.53,15.8,8.95
228,Faya,0,SA,1575255482,71,18.39,42.45,51.8,4.88
229,Kuala Lipis,100,MY,1575255483,98,4.19,102.05,70.12,1.7
230,La Asuncion,100,AR,1575255484,92,-26.05,-65.39,57.36,0.11
231,Husavik,0,CA,1575255485,96,50.56,-96.99,18.0,7.52
232,Santiago de Cao,75,PE,1575255486,82,-7.96,-79.24,68.0,9.17
233,Yulara,0,AU,1575255487,25,-25.24,130.99,84.2,13.87
234,Hambantota,75,LK,1575255488,94,6.12,81.12,80.6,3.36
235,Yantal,9,RU,1575255490,95,56.85,105.25,-13.52,1.7
236,Miri,76,NG,1575255491,27,10.31,9.75,64.8,1.74
237,Portland,100,US,1575255125,92,43.66,-70.25,30.99,12.75
238,Ugoofaaru,100,MV,1575255493,76,5.67,73.0,82.85,9.84
239,Cayenne,41,GF,1575254982,94,4.94,-52.33,77.0,4.34
240,Rio Tinto,40,BR,1575255495,83,-6.8,-35.08,78.8,4.7
241,Hirara,75,JP,1575255124,68,24.8,125.28,69.8,16.11
242,Zwedru,0,LR,1575255497,93,6.07,-8.13,72.37,2.68
243,Sechura,30,PE,1575255498,88,-5.56,-80.82,69.57,10.16
244,Shihezi,0,CN,1575255348,85,44.3,86.03,13.59,1.77
245,Kenitra,75,MA,1575255500,93,34.26,-6.57,55.4,9.17
246,Castro,94,CL,1575255501,87,-42.48,-73.76,51.8,4.7
247,Diego de Almagro,0,CL,1575255502,45,-26.39,-70.05,56.62,0.87
248,Razole,100,IN,1575255503,62,16.48,81.84,81.75,7.83
249,Morant Bay,75,JM,1575255504,78,17.88,-76.41,80.6,4.7
250,Sioux Lookout,5,CA,1575255315,84,50.1,-91.92,14.0,1.81
251,Bonthe,0,SL,1575255507,85,7.53,-12.5,79.57,6.26
252,Avera,1,US,1575255136,50,33.19,-82.53,60.8,10.29
253,Sabha,49,LY,1575255509,36,27.03,14.43,58.66,12.82
254,Chilia Veche,13,UA,1575255510,92,45.41,29.29,23.0,1.12
255,Tazovskiy,95,RU,1575255099,95,67.47,78.7,6.46,10.02
256,Asyut,0,EG,1575255512,71,27.18,31.19,53.6,11.41
257,Bama,38,CN,1575255513,50,24.14,107.25,55.4,9.46
258,Beringovskiy,10,RU,1575255514,90,63.05,179.32,10.02,13.78
259,Yar-Sale,64,RU,1575255515,96,66.83,70.83,7.47,10.11
260,Karaton,40,ID,1575255516,66,-6.34,106.1,91.99,2.24
261,Ancud,100,CL,1575255517,87,-41.87,-73.83,51.8,4.7
262,Rio Grande,0,BR,1575255519,61,-32.03,-52.1,62.58,18.77
263,Lompoc,75,US,1575255128,51,34.64,-120.46,59.0,8.05
264,Sogne,0,NO,1575255521,92,58.08,7.82,37.99,3.36
265,Esil,98,KZ,1575255522,84,51.96,66.41,14.9,9.48
266,Noshiro,75,JP,1575255523,100,40.21,140.05,44.6,2.24
267,Oda,75,JP,1575255524,87,35.19,132.5,53.6,6.93
268,Katsuura,75,JP,1575255525,82,33.93,134.5,64.4,6.93
269,Fairview,90,CA,1575255526,58,56.07,-118.38,28.4,16.11
270,Kasangulu,75,CD,1575255527,94,-4.59,15.17,75.2,1.03
271,Denizli,0,TR,1575255528,77,37.77,29.09,32.0,2.13
272,Christchurch,100,NZ,1575255487,60,-43.53,172.64,73.4,6.93
273,Haverfordwest,0,GB,1575255531,92,51.8,-4.97,33.01,6.93
274,Laki,4,BG,1575255532,69,41.47,23.72,30.99,1.99
275,Zhanakorgan,94,KZ,1575255533,63,43.91,67.25,40.55,11.54
276,Sabang,90,PH,1575255534,77,13.8,121.11,81.0,3.0
277,Ostrovnoy,33,RU,1575255535,85,68.05,39.51,19.92,21.83
278,Matata,41,NZ,1575255536,82,-37.89,176.76,72.0,7.0
279,Naze,62,NG,1575255537,95,5.43,7.07,73.62,2.64
280,Goroka,98,PG,1575255538,88,-6.07,145.39,69.4,5.39
281,Rawson,88,AR,1575254947,66,-43.3,-65.11,56.61,15.08
282,Yancheng,0,CN,1575255540,43,33.39,120.14,44.08,9.57
283,Guiyang,40,CN,1575255541,70,26.58,106.71,42.8,6.71
284,Amazar,100,RU,1575255542,75,53.86,120.88,-9.4,10.4
285,Chinhoyi,33,ZW,1575255543,72,-17.36,30.19,70.07,9.73
286,Coquimbo,20,CL,1575255544,82,-29.95,-71.34,57.2,3.36
287,Tsiroanomandidy,100,MG,1575255545,73,-18.77,46.05,71.15,2.8
288,Sao Pedro do Piaui,79,BR,1575255547,43,-5.93,-42.72,80.47,3.96
289,Hof,90,DE,1575255548,100,50.32,11.92,33.01,3.36
290,Hervey Bay,81,AU,1575255549,52,-25.3,152.85,89.6,24.16
291,Yangjiang,0,CN,1575255550,37,21.85,111.96,69.01,9.95
292,Nisia Floresta,20,BR,1575255551,83,-6.09,-35.21,78.8,8.05
293,Shiyan,15,CN,1575255552,60,32.65,110.78,51.01,3.65
294,Garissa,69,KE,1575255553,85,-0.46,39.64,75.69,7.27
295,Bahia Blanca,0,AR,1575255351,33,-38.72,-62.27,55.65,11.45
296,Moose Factory,1,CA,1575255556,84,51.26,-80.61,6.8,2.24
297,Sao Joao da Barra,100,BR,1575255557,96,-21.64,-41.05,73.54,6.62
298,Sinnamary,18,GF,1575254961,81,5.38,-52.96,81.34,16.04
299,San Quintin,86,PH,1575255121,61,17.54,120.52,84.18,14.12
300,Kharp,99,RU,1575255560,99,66.82,65.8,5.45,5.48
301,Kruisfontein,100,ZA,1575255019,92,-34.0,24.73,59.29,5.28
302,Goderich,97,CA,1575255264,97,43.74,-81.71,33.01,13.04
303,Broome,10,GB,1575255563,93,52.47,1.45,39.0,8.05
304,Vega de Alatorre,96,MX,1575255564,88,20.03,-96.65,76.6,12.15
305,Tianpeng,0,CN,1575255565,50,28.88,112.34,52.77,6.85
306,Yumen,0,CN,1575254978,27,40.29,97.04,28.81,8.61
307,Westport,90,US,1575255567,92,41.14,-73.36,41.0,20.8
308,Bako,7,BF,1575255568,14,12.29,-0.73,73.9,7.92
309,Los Llanos de Aridane,0,ES,1575255570,68,28.66,-17.92,66.2,8.05
310,Ahipara,92,NZ,1575255571,89,-35.17,173.16,73.99,13.96
311,Ozernovskiy,100,RU,1575255572,72,51.5,156.52,29.55,12.88
312,Adrar,0,DZ,1575255573,46,27.87,-0.29,50.0,5.82
313,Tiarei,75,PF,1575255574,74,-17.53,-149.33,82.4,10.29
314,Narsaq,100,GL,1575255575,80,60.91,-46.05,39.2,3.36
315,Kavieng,19,PG,1575255576,61,-2.57,150.8,84.94,2.39
316,Requena,20,ES,1575255577,71,39.49,-1.1,55.99,4.7
317,Krasnyy Yar,29,RU,1575255578,82,50.7,44.73,24.35,7.34
318,Mastic Beach,90,US,1575255543,91,40.77,-72.85,42.8,20.8
319,Luwuk,100,ID,1575255580,69,-0.95,122.79,82.67,2.19
320,Morgan City,1,US,1575255581,38,29.7,-91.21,61.0,10.29
321,Barranca,0,PE,1575255582,94,-10.75,-77.76,65.37,9.82
322,Chegdomyn,100,RU,1575255583,92,51.13,133.04,4.77,2.46
323,Nuuk,100,GL,1575255585,100,64.17,-51.74,28.4,10.29
324,Sawtell,40,AU,1575255586,22,-30.38,153.1,86.0,18.34
325,Charters Towers,0,AU,1575255587,17,-20.07,146.27,95.04,10.74
326,Santa Cruz del Quiche,73,GT,1575255588,29,15.03,-91.15,52.0,1.99
327,Sao Felix do Xingu,0,BR,1575255589,84,-6.64,-51.99,73.44,1.36
328,Georgetown,0,GY,1575255032,94,6.8,-58.16,77.0,4.7
329,Umm Lajj,0,SA,1575255054,52,25.02,37.27,65.59,7.11
330,Kaduna,97,NG,1575255592,23,10.52,7.44,69.12,6.22
331,Kalavad,0,IN,1575255593,77,22.21,70.38,73.0,3.36
332,Lorengau,98,PG,1575255594,67,-2.02,147.27,84.04,5.99
333,Aklavik,90,CA,1575255595,77,68.22,-135.01,6.8,12.75
334,Dong Xoai,7,VN,1575255437,57,11.53,106.92,82.71,6.31
335,Nanortalik,100,GL,1575255597,87,60.14,-45.24,38.57,21.68
336,Srandakan,64,ID,1575255598,65,-7.94,110.25,86.22,8.03
337,Cabo San Lucas,75,MX,1575255516,77,22.89,-109.91,70.0,10.29
338,Kushima,40,JP,1575255600,52,31.5,131.29,68.0,23.04
339,Pevek,100,RU,1575255601,93,69.7,170.27,16.2,9.1
340,Nenjiang,100,CN,1575255603,91,49.17,125.23,4.62,10.4
341,Druzhba,0,UA,1575255605,82,52.05,33.94,25.41,7.81
342,La Trinitaria,39,MX,1575255606,75,16.12,-92.05,65.62,9.91
343,Camacha,20,PT,1575255608,72,33.08,-16.33,64.4,16.11
344,Marystown,100,CA,1575255610,69,47.17,-55.16,31.46,15.23
345,Maltahohe,17,NA,1575255611,23,-24.83,16.98,61.02,2.08
346,Pangkalanbuun,46,ID,1575255612,51,-2.68,111.62,94.77,2.01
347,Sipoo,75,FI,1575255613,92,60.38,25.27,30.0,6.93
348,Alexandria,4,RO,1575255434,74,43.97,25.33,33.4,4.43
349,Gravdal,63,NO,1575255616,80,59.79,5.78,39.2,16.11
350,Helong,0,CN,1575255618,42,25.94,116.13,52.86,11.41
351,Arandis,30,NA,1575255619,89,-22.42,14.98,61.0,3.0
352,Bilma,100,NE,1575255620,25,18.69,12.92,65.01,8.03
353,Sorong,98,ID,1575255621,53,-0.86,131.25,90.7,5.08
354,Ikare,98,NG,1575255622,96,7.49,5.23,70.47,1.63
355,Minden,1,US,1575255623,92,40.5,-98.95,26.6,4.7
356,Alakurtti,98,RU,1575255624,88,66.96,30.34,12.74,9.91
357,Bemidji,1,US,1575255625,84,47.48,-94.89,15.01,4.7
358,Shelburne,90,CA,1575255626,92,44.08,-80.2,28.99,4.7
359,Gat,40,SN,1575255627,94,14.69,-16.54,69.8,13.87
360,Lagoa,30,PT,1575255628,81,37.14,-8.45,53.01,4.7
361,Adolfo Lopez Mateos,47,MX,1575255629,85,26.8,-109.39,66.0,3.0
362,Nouadhibou,90,MR,1575255630,93,20.93,-17.03,62.6,4.7
363,Hay River,90,CA,1575255151,92,60.82,-115.79,12.2,9.17
364,Muravlenko,86,RU,1575255633,94,63.79,74.5,12.13,12.55
365,Fortuna,40,US,1575255634,76,40.6,-124.16,57.2,17.22
366,Berlevag,100,NO,1575255635,88,70.86,29.09,26.33,12.73
367,Constitucion,40,MX,1575255636,23,23.99,-104.67,62.6,4.7
368,Skegness,26,GB,1575255637,81,53.14,0.34,34.0,10.29
369,Dzhebariki-Khaya,71,RU,1575255638,98,62.22,135.8,-24.25,2.46
370,Hutchinson,1,US,1575255639,56,38.06,-97.93,35.6,14.99
371,Tilichiki,99,RU,1575255640,88,60.47,166.1,-0.04,5.5
372,Christiana,0,ZA,1575255641,18,-27.91,25.16,72.5,11.05
373,Russell,1,US,1575255613,74,38.9,-98.86,32.0,9.17
